# showered cut acceptances for CMSalphaT
# (colored sparticle combination given by filename)
# column 1: squark mass
# column 2: gluino mass
# column 3: lighter neutralino mass
# column 4: heavier neutralino mass
# columns 5 to 11: acceptances for combinations of the below cuts.
# column 5 is all the cuts. the next columns relax
# some of the cuts in a binary ordering. to relax cut
# n, go along 2^( n - 1 ) columns from column 5
# [e.g. column 6 relaxes cut 1, column 9 relaxes
# cut 3]. subsequent applications of this work
# [e.g. column 10 relaxes cuts 1 and 3, as it is
# column 5 + 2^( 1 - 1 ) + 2^( 3 - 1 )]
# cut 1: 2 jet pT cuts: 100, 100 GeV (also |eta| < 3)
# cut 2: cut on scalar sum of jet pTs > 350
# cut 3: CMS alphaT cut > 0.55
 100 1600 40 40 0.0223075 0.0223075 0.0227872 0.023267 0.993284 0.994963 0.994963
 100 1600 80 80 0.0410123 0.0415125 0.0411123 0.0430129 0.993698 0.996799 0.994598
 100 1700 0 80 0.0175053 0.0179054 0.0177053 0.0183055 0.995699 0.997199 0.996799
 100 1700 0 40 0.0202987 0.0204264 0.0205541 0.0209371 0.994255 0.997191 0.994893
 100 1700 0 0 0.02001 0.0202101 0.0201101 0.0208104 0.993697 0.995998 0.994797
 100 1700 40 80 0.0204041 0.0204041 0.0206041 0.0210042 0.993899 0.996299 0.994999
 100 1700 40 40 0.0240025 0.0243142 0.0246259 0.0258728 0.993766 0.995012 0.994389
 100 1700 80 80 0.0391424 0.0393391 0.0391424 0.0403226 0.994493 0.996459 0.995869
 100 1800 0 80 0.0166287 0.0168038 0.0166287 0.0169788 0.994574 0.997724 0.995449
 100 1800 0 40 0.0207002 0.0210836 0.020828 0.021978 0.992589 0.9954 0.993994
 100 1800 0 0 0.0180054 0.0182055 0.0182055 0.0189057 0.993898 0.995999 0.994698
 100 1800 40 80 0.022623 0.0232787 0.022623 0.0232787 0.99377 0.996393 0.996066
 100 1800 40 40 0.0177453 0.0177453 0.0177453 0.0177453 0.993737 0.994781 0.995825
