# showered cut acceptances for CMSalphaT
# (colored sparticle combination given by filename)
# column 1: squark mass
# column 2: gluino mass
# column 3: lighter neutralino mass
# column 4: heavier neutralino mass
# columns 5 to 11: acceptances for combinations of the below cuts.
# column 5 is all the cuts. the next columns relax
# some of the cuts in a binary ordering. to relax cut
# n, go along 2^( n - 1 ) columns from column 5
# [e.g. column 6 relaxes cut 1, column 9 relaxes
# cut 3]. subsequent applications of this work
# [e.g. column 10 relaxes cuts 1 and 3, as it is
# column 5 + 2^( 1 - 1 ) + 2^( 3 - 1 )]
# cut 1: 2 jet pT cuts: 100, 100 GeV (also |eta| < 3)
# cut 2: cut on scalar sum of jet pTs > 350
# cut 3: CMS alphaT cut > 0.55
 100 2000 40 80 0.00110011 0.00120012 0.00930093 0.187219 0.0445045 0.0519052 0.106611
 100 2000 40 40 0.00140014 0.00180018 0.00750075 0.221322 0.0368037 0.0443044 0.080308
 100 2000 80 80 0.0020002 0.00220022 0.0168017 0.244724 0.029503 0.0365037 0.080308
 200 100 0 80 0.00360036 0.00560056 0.00920092 0.10441 0.286929 0.364136 0.360436
 200 100 0 40 0.00230069 0.0030009 0.00620186 0.118736 0.220266 0.285986 0.285586
 200 100 0 0 0.00240024 0.00360036 0.00770077 0.117212 0.210121 0.273927 0.277628
 200 100 40 80 0.00690069 0.00920092 0.0144014 0.136614 0.271427 0.340734 0.341934
 200 100 40 40 0.00320064 0.0060012 0.00940188 0.142829 0.202941 0.267954 0.267053
 200 100 80 80 0.0143014 0.020102 0.0242024 0.154615 0.307731 0.386539 0.379338
 200 200 0 160 0.0213064 0.0296089 0.043213 0.213064 0.343203 0.389217 0.480644
 200 200 0 80 0.0232046 0.0295059 0.0488098 0.168634 0.344469 0.383077 0.496699
 200 200 0 0 0.0167117 0.0201141 0.0364255 0.138197 0.32863 0.367257 0.478835
 200 200 80 160 0.0202 0.0284 0.0407 0.2076 0.3181 0.3716 0.44
 200 200 80 80 0.0265027 0.0315032 0.0515052 0.170117 0.30393 0.345735 0.446145
 200 200 160 160 0.0287144 0.0405203 0.0585293 0.258629 0.217209 0.291346 0.29925
 200 300 0 160 0.0189038 0.025205 0.0393079 0.207942 0.329166 0.373275 0.467493
 200 300 0 80 0.0218022 0.0264026 0.0473047 0.163816 0.339634 0.380738 0.492549
